module_id,course_id,module_order,module_title,duration_minutes
66,8,4,Modul 4: Praktik Langsung,29.0
67,8,5,Modul 5: Studi Kasus 2,19.0
68,9,1,Modul 1: Pengenalan & Overview,37.0
69,9,2,Modul 2: Konsep Dasar,29.0
70,9,3,Modul 3: Studi Kasus 1,14.0
71,9,4,Modul 4: Praktik Langsung,25.0
72,9,5,Modul 5: Studi Kasus 2,41.0
73,9,6,Modul 6: Teknik Lanjutan,22.0
74,9,7,Modul 7: Tools & Best Practices,18.0
75,9,8,Modul 8: Project Mini,35.0
76,9,9,Modul 9: Evaluasi & Quiz,49.0
77,9,10,Modul 10: Studi Kasus Lanjutan,31.0
78,9,11,Modul 11: Optimasi & Tips,37.0
79,9,12,Modul 12: Final Project,51.0
80,10,1,Modul 1: Pengenalan & Overview,18.0
81,10,2,Modul 2: Konsep Dasar,48.0
82,10,3,Modul 3: Studi Kasus 1,22.0
83,10,4,Modul 4: Praktik Langsung,21.0
84,10,5,Modul 5: Studi Kasus 2,30.0
85,10,6,Modul 6: Teknik Lanjutan,54.0
86,10,7,Modul 7: Tools & Best Practices,46.0
87,10,8,Modul 8: Project Mini,30.0
88,10,9,Modul 9: Evaluasi & Quiz,60.0
89,10,10,Modul 10: Studi Kasus Lanjutan,17.0
90,11,1,Modul 1: Pengenalan & Overview,22.0
91,11,2,Modul 2: Konsep Dasar,44.0
92,11,3,Modul 3: Studi Kasus 1,59.0
93,11,4,Modul 4: Praktik Langsung,56.0
94,11,5,Modul 5: Studi Kasus 2,55.0
95,11,6,Modul 6: Teknik Lanjutan,28.0
96,11,7,Modul 7: Tools & Best Practices,14.0
97,12,1,Modul 1: Pengenalan & Overview,60.0
98,12,2,Modul 2: Konsep Dasar,53.0
99,12,3,Modul 3: Studi Kasus 1,50.0
100,12,4,Modul 4: Praktik Langsung,26.0
101,13,1,Modul 1: Pengenalan & Overview,55.0
102,13,2,Modul 2: Konsep Dasar,34.0
103,13,3,Modul 3: Studi Kasus 1,48.0
104,13,4,Modul 4: Praktik Langsung,35.0
105,13,5,Modul 5: Studi Kasus 2,54.0
106,13,6,Modul 6: Teknik Lanjutan,12.0
107,13,7,Modul 7: Tools & Best Practices,33.0
108,14,1,Modul 1: Pengenalan & Overview,44.0
109,14,2,Modul 2: Konsep Dasar,15.0
110,14,3,Modul 3: Studi Kasus 1,25.0
111,14,4,Modul 4: Praktik Langsung,32.0
112,14,5,Modul 5: Studi Kasus 2,49.0
113,14,6,Modul 6: Teknik Lanjutan,51.0
114,14,7,Modul 7: Tools & Best Practices,35.0
115,14,8,Modul 8: Project Mini,31.0
116,14,9,Modul 9: Evaluasi & Quiz,37.0
117,14,10,Modul 10: Studi Kasus Lanjutan,16.0
118,15,1,Modul 1: Pengenalan & Overview,42.0
119,15,2,Modul 2: Konsep Dasar,45.0
120,15,3,Modul 3: Studi Kasus 1,46.0
121,15,4,Modul 4: Praktik Langsung,33.0
122,16,1,Modul 1: Pengenalan & Overview,59.0
123,16,2,Modul 2: Konsep Dasar,54.0
124,16,3,Modul 3: Studi Kasus 1,32.0
125,16,4,Modul 4: Praktik Langsung,40.0
126,16,5,Modul 5: Studi Kasus 2,36.0
127,16,6,Modul 6: Teknik Lanjutan,15.0
128,16,7,Modul 7: Tools & Best Practices,56.0
129,17,1,Modul 1: Pengenalan & Overview,29.0
130,17,2,Modul 2: Konsep Dasar,60.0
131,17,3,Modul 3: Studi Kasus 1,40.0
132,17,4,Modul 4: Praktik Langsung,16.0
133,17,5,Modul 5: Studi Kasus 2,54.0
134,17,6,Modul 6: Teknik Lanjutan,14.0
135,17,7,Modul 7: Tools & Best Practices,55.0
136,18,1,Modul 1: Pengenalan & Overview,31.0
137,18,2,Modul 2: Konsep Dasar,53.0
138,18,3,Modul 3: Studi Kasus 1,57.0
139,18,4,Modul 4: Praktik Langsung,21.0
140,18,5,Modul 5: Studi Kasus 2,31.0
141,18,6,Modul 6: Teknik Lanjutan,39.0
142,18,7,Modul 7: Tools & Best Practices,35.0
143,18,8,Modul 8: Project Mini,21.0
144,18,9,Modul 9: Evaluasi & Quiz,37.0
145,18,10,Modul 10: Studi Kasus Lanjutan,57.0
146,18,11,Modul 11: Optimasi & Tips,22.0
147,18,12,Modul 12: Final Project,37.0
148,19,1,Modul 1: Pengenalan & Overview,55.0
149,19,2,Modul 2: Konsep Dasar,27.0
150,19,3,Modul 3: Studi Kasus 1,60.0
151,19,4,Modul 4: Praktik Langsung,16.0
152,19,5,Modul 5: Studi Kasus 2,44.0
153,19,6,Modul 6: Teknik Lanjutan,30.0
154,19,7,Modul 7: Tools & Best Practices,17.0
155,20,1,Modul 1: Pengenalan & Overview,41.0
156,20,2,Modul 2: Konsep Dasar,50.0
157,20,3,Modul 3: Studi Kasus 1,34.0
158,20,4,Modul 4: Praktik Langsung,47.0
159,20,5,Modul 5: Studi Kasus 2,32.0
160,20,6,Modul 6: Teknik Lanjutan,49.0
161,20,7,Modul 7: Tools & Best Practices,53.0
162,20,8,Modul 8: Project Mini,29.0
163,21,1,Modul 1: Pengenalan & Overview,47.0
164,21,2,Modul 2: Konsep Dasar,18.0
165,21,3,Modul 3: Studi Kasus 1,25.0
166,21,4,Modul 4: Praktik Langsung,21.0
167,21,5,Modul 5: Studi Kasus 2,19.0
168,21,6,Modul 6: Teknik Lanjutan,36.0
169,21,7,Modul 7: Tools & Best Practices,46.0
170,22,1,Modul 1: Pengenalan & Overview,21.0
171,22,2,Modul 2: Konsep Dasar,44.0
172,22,3,Modul 3: Studi Kasus 1,51.0
173,22,4,Modul 4: Praktik Langsung,21.0
174,23,1,Modul 1: Pengenalan & Overview,41.0
175,23,2,Modul 2: Konsep Dasar,21.0
176,23,3,Modul 3: Studi Kasus 1,38.0
177,23,4,Modul 4: Praktik Langsung,32.0
178,23,5,Modul 5: Studi Kasus 2,41.0
179,24,1,Modul 1: Pengenalan & Overview,34.0
180,24,2,Modul 2: Konsep Dasar,42.0
181,24,3,Modul 3: Studi Kasus 1,36.0
182,24,4,Modul 4: Praktik Langsung,36.0
183,24,5,Modul 5: Studi Kasus 2,38.0
184,25,1,Modul 1: Pengenalan & Overview,15.0
185,25,2,Modul 2: Konsep Dasar,60.0
186,25,3,Modul 3: Studi Kasus 1,28.0
187,25,4,Modul 4: Praktik Langsung,24.0
188,25,5,Modul 5: Studi Kasus 2,20.0
189,25,6,Modul 6: Teknik Lanjutan,46.0
190,25,7,Modul 7: Tools & Best Practices,59.0
191,25,8,Modul 8: Project Mini,42.0
192,25,9,Modul 9: Evaluasi & Quiz,17.0
193,26,1,Modul 1: Pengenalan & Overview,44.0
194,26,2,Modul 2: Konsep Dasar,33.0
195,26,3,Modul 3: Studi Kasus 1,58.0
196,26,4,Modul 4: Praktik Langsung,56.0
197,26,5,Modul 5: Studi Kasus 2,23.0
198,27,1,Modul 1: Pengenalan & Overview,16.0
199,27,2,Modul 2: Konsep Dasar,51.0
200,27,3,Modul 3: Studi Kasus 1,29.0
201,27,4,Modul 4: Praktik Langsung,12.0
202,27,5,Modul 5: Studi Kasus 2,32.0
203,27,6,Modul 6: Teknik Lanjutan,15.0
204,27,7,Modul 7: Tools & Best Practices,17.0
205,27,8,Modul 8: Project Mini,25.0
206,27,9,Modul 9: Evaluasi & Quiz,57.0
207,28,1,Modul 1: Pengenalan & Overview,32.0
208,28,2,Modul 2: Konsep Dasar,49.0
209,28,3,Modul 3: Studi Kasus 1,20.0
210,28,4,Modul 4: Praktik Langsung,60.0
211,28,5,Modul 5: Studi Kasus 2,23.0
212,28,6,Modul 6: Teknik Lanjutan,46.0
213,28,7,Modul 7: Tools & Best Practices,27.0
214,28,8,Modul 8: Project Mini,20.0
215,28,9,Modul 9: Evaluasi & Quiz,55.0
216,28,10,Modul 10: Studi Kasus Lanjutan,46.0
217,28,11,Modul 11: Optimasi & Tips,42.0
218,28,12,Modul 12: Final Project,53.0
219,29,1,Modul 1: Pengenalan & Overview,18.0
220,29,2,Modul 2: Konsep Dasar,60.0
221,29,3,Modul 3: Studi Kasus 1,13.0
222,29,4,Modul 4: Praktik Langsung,51.0
223,29,5,Modul 5: Studi Kasus 2,18.0
224,29,6,Modul 6: Teknik Lanjutan,55.0
225,30,1,Modul 1: Pengenalan & Overview,25.0
226,30,2,Modul 2: Konsep Dasar,53.0
227,30,3,Modul 3: Studi Kasus 1,19.0
228,30,4,Modul 4: Praktik Langsung,27.0
229,30,5,Modul 5: Studi Kasus 2,34.0
230,30,6,Modul 6: Teknik Lanjutan,50.0
231,30,7,Modul 7: Tools & Best Practices,59.0
232,30,8,Modul 8: Project Mini,42.0
233,30,9,Modul 9: Evaluasi & Quiz,54.0
234,31,1,Modul 1: Pengenalan & Overview,33.0
235,31,2,Modul 2: Konsep Dasar,41.0
236,31,3,Modul 3: Studi Kasus 1,10.0
237,31,4,Modul 4: Praktik Langsung,56.0
238,31,5,Modul 5: Studi Kasus 2,39.0
239,31,6,Modul 6: Teknik Lanjutan,54.0
240,31,7,Modul 7: Tools & Best Practices,14.0
241,31,8,Modul 8: Project Mini,35.0
242,31,9,Modul 9: Evaluasi & Quiz,37.0
243,31,10,Modul 10: Studi Kasus Lanjutan,41.0
244,32,1,Modul 1: Pengenalan & Overview,28.0
245,32,2,Modul 2: Konsep Dasar,46.0
246,32,3,Modul 3: Studi Kasus 1,41.0
247,32,4,Modul 4: Praktik Langsung,53.0
248,32,5,Modul 5: Studi Kasus 2,12.0
249,32,6,Modul 6: Teknik Lanjutan,60.0
250,32,7,Modul 7: Tools & Best Practices,11.0
251,32,8,Modul 8: Project Mini,20.0
252,32,9,Modul 9: Evaluasi & Quiz,10.0
253,32,10,Modul 10: Studi Kasus Lanjutan,37.0
254,32,11,Modul 11: Optimasi & Tips,54.0
255,33,1,Modul 1: Pengenalan & Overview,51.0
256,33,2,Modul 2: Konsep Dasar,27.0
257,33,3,Modul 3: Studi Kasus 1,33.0
258,33,4,Modul 4: Praktik Langsung,33.0
259,33,5,Modul 5: Studi Kasus 2,51.0
260,33,6,Modul 6: Teknik Lanjutan,35.0
261,34,1,Modul 1: Pengenalan & Overview,56.0
262,34,2,Modul 2: Konsep Dasar,24.0
263,34,3,Modul 3: Studi Kasus 1,15.0
264,34,4,Modul 4: Praktik Langsung,10.0
265,35,1,Modul 1: Pengenalan & Overview,14.0
266,35,2,Modul 2: Konsep Dasar,24.0
267,35,3,Modul 3: Studi Kasus 1,
268,35,4,Modul 4: Praktik Langsung,54.0
269,35,5,Modul 5: Studi Kasus 2,17.0
270,35,6,Modul 6: Teknik Lanjutan,37.0
271,35,7,Modul 7: Tools & Best Practices,40.0
272,35,8,Modul 8: Project Mini,34.0
273,35,9,Modul 9: Evaluasi & Quiz,16.0
274,36,1,Modul 1: Pengenalan & Overview,33.0
275,36,2,Modul 2: Konsep Dasar,18.0
276,36,3,Modul 3: Studi Kasus 1,58.0
277,36,4,Modul 4: Praktik Langsung,51.0
278,36,5,Modul 5: Studi Kasus 2,19.0
279,36,6,Modul 6: Teknik Lanjutan,
280,37,1,Modul 1: Pengenalan & Overview,51.0
281,37,2,Modul 2: Konsep Dasar,32.0
282,37,3,Modul 3: Studi Kasus 1,50.0
283,37,4,Modul 4: Praktik Langsung,36.0
284,37,5,Modul 5: Studi Kasus 2,38.0
285,37,6,Modul 6: Teknik Lanjutan,15.0
286,37,7,Modul 7: Tools & Best Practices,18.0
287,37,8,Modul 8: Project Mini,47.0
288,38,1,Modul 1: Pengenalan & Overview,32.0
289,38,2,Modul 2: Konsep Dasar,30.0
290,38,3,Modul 3: Studi Kasus 1,25.0
291,38,4,Modul 4: Praktik Langsung,15.0
292,38,5,Modul 5: Studi Kasus 2,48.0
293,38,6,Modul 6: Teknik Lanjutan,48.0
294,38,7,Modul 7: Tools & Best Practices,54.0
295,38,8,Modul 8: Project Mini,52.0
296,38,9,Modul 9: Evaluasi & Quiz,23.0
297,38,10,Modul 10: Studi Kasus Lanjutan,42.0
298,38,11,Modul 11: Optimasi & Tips,35.0
299,39,1,Modul 1: Pengenalan & Overview,13.0
300,39,2,Modul 2: Konsep Dasar,60.0
301,39,3,Modul 3: Studi Kasus 1,41.0
302,39,4,Modul 4: Praktik Langsung,25.0
303,39,5,Modul 5: Studi Kasus 2,48.0
304,39,6,Modul 6: Teknik Lanjutan,10.0
305,39,7,Modul 7: Tools & Best Practices,30.0
306,39,8,Modul 8: Project Mini,46.0
307,39,9,Modul 9: Evaluasi & Quiz,44.0
308,40,1,Modul 1: Pengenalan & Overview,58.0
309,40,2,Modul 2: Konsep Dasar,59.0
310,40,3,Modul 3: Studi Kasus 1,47.0
311,40,4,Modul 4: Praktik Langsung,26.0
312,40,5,Modul 5: Studi Kasus 2,13.0
313,41,1,Modul 1: Pengenalan & Overview,35.0
314,41,2,Modul 2: Konsep Dasar,50.0
315,41,3,Modul 3: Studi Kasus 1,59.0
316,41,4,Modul 4: Praktik Langsung,54.0
317,41,5,Modul 5: Studi Kasus 2,50.0
318,41,6,Modul 6: Teknik Lanjutan,49.0
319,41,7,Modul 7: Tools & Best Practices,15.0
320,41,8,Modul 8: Project Mini,42.0
321,41,9,Modul 9: Evaluasi & Quiz,19.0
322,41,10,Modul 10: Studi Kasus Lanjutan,35.0
323,42,1,Modul 1: Pengenalan & Overview,58.0
324,42,2,Modul 2: Konsep Dasar,53.0
325,42,3,Modul 3: Studi Kasus 1,29.0
326,42,4,Modul 4: Praktik Langsung,56.0
327,42,5,Modul 5: Studi Kasus 2,25.0
328,42,6,Modul 6: Teknik Lanjutan,15.0
329,42,7,Modul 7: Tools & Best Practices,17.0
330,42,8,Modul 8: Project Mini,48.0
331,43,1,Modul 1: Pengenalan & Overview,52.0
332,43,2,Modul 2: Konsep Dasar,57.0
333,43,3,Modul 3: Studi Kasus 1,10.0
334,43,4,Modul 4: Praktik Langsung,
335,43,5,Modul 5: Studi Kasus 2,41.0
336,44,1,Modul 1: Pengenalan & Overview,43.0
337,44,2,Modul 2: Konsep Dasar,56.0
338,44,3,Modul 3: Studi Kasus 1,33.0
339,44,4,Modul 4: Praktik Langsung,59.0
340,44,5,Modul 5: Studi Kasus 2,56.0
341,44,6,Modul 6: Teknik Lanjutan,59.0
342,44,7,Modul 7: Tools & Best Practices,31.0
343,44,8,Modul 8: Project Mini,27.0
344,45,1,Modul 1: Pengenalan & Overview,26.0
345,45,2,Modul 2: Konsep Dasar,46.0
346,45,3,Modul 3: Studi Kasus 1,41.0
347,45,4,Modul 4: Praktik Langsung,33.0
348,45,5,Modul 5: Studi Kasus 2,46.0
349,45,6,Modul 6: Teknik Lanjutan,20.0
350,45,7,Modul 7: Tools & Best Practices,16.0
351,46,1,Modul 1: Pengenalan & Overview,53.0
352,46,2,Modul 2: Konsep Dasar,24.0
353,46,3,Modul 3: Studi Kasus 1,10.0
354,46,4,Modul 4: Praktik Langsung,10.0
355,46,5,Modul 5: Studi Kasus 2,40.0
356,46,6,Modul 6: Teknik Lanjutan,19.0
357,46,7,Modul 7: Tools & Best Practices,12.0
358,46,8,Modul 8: Project Mini,55.0
359,46,9,Modul 9: Evaluasi & Quiz,36.0
360,46,10,Modul 10: Studi Kasus Lanjutan,25.0
361,46,11,Modul 11: Optimasi & Tips,56.0
362,46,12,Modul 12: Final Project,14.0
363,47,1,Modul 1: Pengenalan & Overview,17.0
364,47,2,Modul 2: Konsep Dasar,13.0
365,47,3,Modul 3: Studi Kasus 1,43.0
366,47,4,Modul 4: Praktik Langsung,35.0
367,47,5,Modul 5: Studi Kasus 2,39.0
368,47,6,Modul 6: Teknik Lanjutan,59.0
369,47,7,Modul 7: Tools & Best Practices,30.0
370,47,8,Modul 8: Project Mini,
371,47,9,Modul 9: Evaluasi & Quiz,22.0
372,47,10,Modul 10: Studi Kasus Lanjutan,60.0
373,47,11,Modul 11: Optimasi & Tips,49.0
374,48,1,Modul 1: Pengenalan & Overview,33.0
375,48,2,Modul 2: Konsep Dasar,41.0
376,48,3,Modul 3: Studi Kasus 1,59.0
377,48,4,Modul 4: Praktik Langsung,44.0
378,48,5,Modul 5: Studi Kasus 2,25.0
379,48,6,Modul 6: Teknik Lanjutan,36.0
380,48,7,Modul 7: Tools & Best Practices,44.0
381,48,8,Modul 8: Project Mini,54.0
382,48,9,Modul 9: Evaluasi & Quiz,
383,48,10,Modul 10: Studi Kasus Lanjutan,52.0
384,48,11,Modul 11: Optimasi & Tips,57.0
385,48,12,Modul 12: Final Project,16.0
386,49,1,Modul 1: Pengenalan & Overview,25.0
387,49,2,Modul 2: Konsep Dasar,13.0
388,49,3,Modul 3: Studi Kasus 1,19.0
389,49,4,Modul 4: Praktik Langsung,15.0
390,49,5,Modul 5: Studi Kasus 2,24.0
391,49,6,Modul 6: Teknik Lanjutan,43.0
392,49,7,Modul 7: Tools & Best Practices,33.0
393,50,1,Modul 1: Pengenalan & Overview,57.0
394,50,2,Modul 2: Konsep Dasar,16.0
395,50,3,Modul 3: Studi Kasus 1,50.0
396,50,4,Modul 4: Praktik Langsung,14.0
397,50,5,Modul 5: Studi Kasus 2,13.0
398,50,6,Modul 6: Teknik Lanjutan,18.0
399,50,7,Modul 7: Tools & Best Practices,26.0
400,51,1,Modul 1: Pengenalan & Overview,35.0
401,51,2,Modul 2: Konsep Dasar,57.0
402,51,3,Modul 3: Studi Kasus 1,38.0
403,51,4,Modul 4: Praktik Langsung,14.0
404,51,5,Modul 5: Studi Kasus 2,18.0
405,52,1,Modul 1: Pengenalan & Overview,47.0
406,52,2,Modul 2: Konsep Dasar,16.0
407,52,3,Modul 3: Studi Kasus 1,39.0
408,52,4,Modul 4: Praktik Langsung,17.0
409,52,5,Modul 5: Studi Kasus 2,59.0
410,52,6,Modul 6: Teknik Lanjutan,29.0
411,52,7,Modul 7: Tools & Best Practices,17.0
412,53,1,Modul 1: Pengenalan & Overview,53.0
413,53,2,Modul 2: Konsep Dasar,55.0
414,53,3,Modul 3: Studi Kasus 1,12.0
415,53,4,Modul 4: Praktik Langsung,30.0
416,53,5,Modul 5: Studi Kasus 2,55.0
417,53,6,Modul 6: Teknik Lanjutan,32.0
418,53,7,Modul 7: Tools & Best Practices,13.0
419,53,8,Modul 8: Project Mini,26.0
420,53,9,Modul 9: Evaluasi & Quiz,21.0
421,53,10,Modul 10: Studi Kasus Lanjutan,35.0
422,53,11,Modul 11: Optimasi & Tips,45.0
423,53,12,Modul 12: Final Project,25.0
424,54,1,Modul 1: Pengenalan & Overview,16.0
425,54,2,Modul 2: Konsep Dasar,18.0
426,54,3,Modul 3: Studi Kasus 1,13.0
427,54,4,Modul 4: Praktik Langsung,24.0
428,54,5,Modul 5: Studi Kasus 2,35.0
429,54,6,Modul 6: Teknik Lanjutan,50.0
430,54,7,Modul 7: Tools & Best Practices,15.0
431,54,8,Modul 8: Project Mini,26.0
432,55,1,Modul 1: Pengenalan & Overview,14.0
433,55,2,Modul 2: Konsep Dasar,14.0
434,55,3,Modul 3: Studi Kasus 1,51.0
435,55,4,Modul 4: Praktik Langsung,18.0
436,55,5,Modul 5: Studi Kasus 2,31.0
437,55,6,Modul 6: Teknik Lanjutan,39.0
438,55,7,Modul 7: Tools & Best Practices,46.0
439,55,8,Modul 8: Project Mini,56.0
440,55,9,Modul 9: Evaluasi & Quiz,11.0
441,55,10,Modul 10: Studi Kasus Lanjutan,37.0
442,55,11,Modul 11: Optimasi & Tips,23.0
443,56,1,Modul 1: Pengenalan & Overview,27.0
444,56,2,Modul 2: Konsep Dasar,19.0
445,56,3,Modul 3: Studi Kasus 1,49.0
446,56,4,Modul 4: Praktik Langsung,51.0
447,56,5,Modul 5: Studi Kasus 2,36.0
448,56,6,Modul 6: Teknik Lanjutan,40.0
449,57,1,Modul 1: Pengenalan & Overview,27.0
450,57,2,Modul 2: Konsep Dasar,36.0
451,57,3,Modul 3: Studi Kasus 1,43.0
452,57,4,Modul 4: Praktik Langsung,44.0
453,57,5,Modul 5: Studi Kasus 2,34.0
454,57,6,Modul 6: Teknik Lanjutan,32.0
455,57,7,Modul 7: Tools & Best Practices,60.0
456,57,8,Modul 8: Project Mini,46.0
457,57,9,Modul 9: Evaluasi & Quiz,34.0
458,57,10,Modul 10: Studi Kasus Lanjutan,11.0
459,57,11,Modul 11: Optimasi & Tips,24.0
460,57,12,Modul 12: Final Project,59.0
461,58,1,Modul 1: Pengenalan & Overview,40.0
462,58,2,Modul 2: Konsep Dasar,59.0
463,58,3,Modul 3: Studi Kasus 1,24.0
464,58,4,Modul 4: Praktik Langsung,16.0
465,58,5,Modul 5: Studi Kasus 2,25.0
466,58,6,Modul 6: Teknik Lanjutan,60.0
467,58,7,Modul 7: Tools & Best Practices,13.0
468,58,8,Modul 8: Project Mini,24.0
469,58,9,Modul 9: Evaluasi & Quiz,34.0
470,58,10,Modul 10: Studi Kasus Lanjutan,21.0
471,59,1,Modul 1: Pengenalan & Overview,47.0
472,59,2,Modul 2: Konsep Dasar,57.0
473,59,3,Modul 3: Studi Kasus 1,47.0
474,59,4,Modul 4: Praktik Langsung,54.0
475,59,5,Modul 5: Studi Kasus 2,46.0
476,59,6,Modul 6: Teknik Lanjutan,46.0
477,59,7,Modul 7: Tools & Best Practices,41.0
478,59,8,Modul 8: Project Mini,21.0
479,59,9,Modul 9: Evaluasi & Quiz,15.0
480,59,10,Modul 10: Studi Kasus Lanjutan,48.0
481,59,11,Modul 11: Optimasi & Tips,43.0
482,60,1,Modul 1: Pengenalan & Overview,31.0
483,60,2,Modul 2: Konsep Dasar,22.0
484,60,3,Modul 3: Studi Kasus 1,31.0
485,60,4,Modul 4: Praktik Langsung,30.0
486,60,5,Modul 5: Studi Kasus 2,19.0
487,60,6,Modul 6: Teknik Lanjutan,19.0
488,60,7,Modul 7: Tools & Best Practices,43.0
489,60,8,Modul 8: Project Mini,14.0
490,60,9,Modul 9: Evaluasi & Quiz,52.0
491,60,10,Modul 10: Studi Kasus Lanjutan,16.0
492,60,11,Modul 11: Optimasi & Tips,30.0
493,61,1,Modul 1: Pengenalan & Overview,20.0
494,61,2,Modul 2: Konsep Dasar,37.0
495,61,3,Modul 3: Studi Kasus 1,41.0
496,61,4,Modul 4: Praktik Langsung,21.0
497,61,5,Modul 5: Studi Kasus 2,45.0
498,61,6,Modul 6: Teknik Lanjutan,49.0
499,61,7,Modul 7: Tools & Best Practices,24.0
500,61,8,Modul 8: Project Mini,21.0
501,61,9,Modul 9: Evaluasi & Quiz,56.0
502,61,10,Modul 10: Studi Kasus Lanjutan,18.0
503,62,1,Modul 1: Pengenalan & Overview,10.0
504,62,2,Modul 2: Konsep Dasar,46.0
505,62,3,Modul 3: Studi Kasus 1,59.0
506,62,4,Modul 4: Praktik Langsung,12.0
507,62,5,Modul 5: Studi Kasus 2,30.0
508,62,6,Modul 6: Teknik Lanjutan,49.0
509,62,7,Modul 7: Tools & Best Practices,46.0
510,62,8,Modul 8: Project Mini,41.0
511,62,9,Modul 9: Evaluasi & Quiz,57.0
512,62,10,Modul 10: Studi Kasus Lanjutan,32.0
513,62,11,Modul 11: Optimasi & Tips,20.0
514,63,1,Modul 1: Pengenalan & Overview,15.0
515,63,2,Modul 2: Konsep Dasar,52.0
516,63,3,Modul 3: Studi Kasus 1,31.0
517,63,4,Modul 4: Praktik Langsung,26.0
518,63,5,Modul 5: Studi Kasus 2,54.0
519,63,6,Modul 6: Teknik Lanjutan,26.0
520,63,7,Modul 7: Tools & Best Practices,
521,63,8,Modul 8: Project Mini,34.0
522,63,9,Modul 9: Evaluasi & Quiz,36.0
523,63,10,Modul 10: Studi Kasus Lanjutan,36.0
524,63,11,Modul 11: Optimasi & Tips,34.0
525,64,1,Modul 1: Pengenalan & Overview,34.0
526,64,2,Modul 2: Konsep Dasar,40.0
527,64,3,Modul 3: Studi Kasus 1,46.0
528,64,4,Modul 4: Praktik Langsung,53.0
529,64,5,Modul 5: Studi Kasus 2,38.0
530,64,6,Modul 6: Teknik Lanjutan,12.0
531,64,7,Modul 7: Tools & Best Practices,30.0
532,65,1,Modul 1: Pengenalan & Overview,16.0
533,65,2,Modul 2: Konsep Dasar,20.0
534,65,3,Modul 3: Studi Kasus 1,20.0
535,65,4,Modul 4: Praktik Langsung,45.0
536,65,5,Modul 5: Studi Kasus 2,15.0
537,65,6,Modul 6: Teknik Lanjutan,49.0
538,65,7,Modul 7: Tools & Best Practices,55.0
539,66,1,Modul 1: Pengenalan & Overview,51.0
