progress_id,enrollment_id,module_id,access_date,access_timestamp,status,time_spent_minutes,completion_date,completion_timestamp,has_access_time,time_spent_flag
64,21,125,2026-02-03,2026-02-03 21:41:52,completed,32.0,2026-02-03,2026-02-03 22:13:52,True,normal
65,21,126,2026-02-09,2026-02-09 22:02:55,completed,34.0,2026-02-09,2026-02-09 22:36:55,True,normal
66,21,127,2026-02-16,2026-02-16 21:37:35,completed,19.0,2026-02-16,2026-02-16 21:56:35,True,normal
67,21,128,2026-02-24,2026-02-24 13:45:32,completed,88.0,2026-02-24,2026-02-24 15:13:32,True,normal
68,23,1154,2025-06-09,2025-06-09 13:26:31,completed,69.0,2025-06-09,2025-06-09 14:35:31,True,normal
69,23,1155,2025-06-17,2025-06-17 21:55:14,completed,42.0,2025-06-17,2025-06-17 22:37:14,True,normal
70,23,1156,2025-06-20,2025-06-20 02:31:28,completed,56.0,2025-06-20,2025-06-20 03:27:28,True,normal
71,23,1157,2025-06-21,2025-06-21 21:06:20,in_progress,64.0,,,True,normal
72,24,1645,2025-08-04,2025-08-04 15:41:05,completed,36.0,2025-08-04,2025-08-04 16:17:05,True,normal
73,24,1646,2025-08-13,2025-08-13 12:17:45,completed,62.0,2025-08-13,2025-08-13 13:19:45,True,normal
74,24,1647,2025-08-17,2025-08-17 14:13:06,completed,22.0,2025-08-17,2025-08-17 14:35:06,True,normal
75,24,1648,2025-08-21,2025-08-21 07:58:44,in_progress,30.0,,,True,normal
76,25,424,2026-06-26,2026-06-26 22:12:25,completed,18.0,2026-06-26,2026-06-26 22:30:25,True,normal
77,25,425,2026-07-03,2026-07-03 17:59:49,completed,30.0,2026-07-03,2026-07-03 18:29:49,True,normal
78,25,426,2026-07-04,2026-07-04 14:55:28,completed,15.0,2026-07-04,2026-07-04 15:10:28,True,normal
79,25,427,2026-07-12,2026-07-12 10:19:51,completed,29.0,2026-07-12,2026-07-12 10:48:51,True,normal
80,25,428,2026-07-16,2026-07-16 13:30:36,completed,43.0,2026-07-16,2026-07-16 14:13:36,True,normal
81,25,429,2026-07-16,2026-07-16 21:27:46,completed,33.0,2026-07-16,2026-07-16 22:00:46,True,normal
82,25,430,2026-07-20,2026-07-20 12:08:39,completed,21.0,2026-07-20,2026-07-20 12:29:39,True,normal
83,25,431,2026-07-23,2026-07-23 12:07:22,completed,29.0,2026-07-23,2026-07-23 12:36:22,True,normal
84,26,1061,2026-05-27,2026-05-27 19:35:49,in_progress,72.0,,,True,normal
85,27,2435,2026-03-23,2026-03-23 16:45:42,completed,54.0,2026-03-23,2026-03-23 17:39:42,True,normal
86,27,2436,2026-03-25,2026-03-25 16:47:23,in_progress,50.0,,,True,normal
87,28,1366,2026-05-28,2026-05-28 21:01:29,completed,85.0,2026-05-28,2026-05-28 22:26:29,True,normal
88,28,1367,2026-06-01,2026-06-01 19:16:24,completed,34.0,2026-06-01,2026-06-01 19:50:24,True,normal
89,28,1368,2026-06-02,2026-06-02 20:58:40,completed,45.0,2026-06-02,2026-06-02 21:43:40,True,normal
90,29,493,2026-05-30,2026-05-30 11:10:57,completed,29.0,2026-05-30,2026-05-30 11:39:57,True,normal
91,29,494,2026-06-07,2026-06-07 15:41:53,completed,37.0,2026-06-07,2026-06-07 16:18:53,True,normal
92,29,495,2026-06-08,2026-06-08 21:42:30,completed,64.0,2026-06-08,2026-06-08 22:46:30,True,normal
93,29,496,2026-06-08,2026-06-08 20:44:31,completed,21.0,2026-06-08,2026-06-08 21:05:31,True,normal
94,29,497,2026-06-12,2026-06-12 20:46:55,completed,52.0,2026-06-12,2026-06-12 21:38:55,True,normal
95,29,498,2026-06-18,2026-06-18 12:12:49,completed,62.0,2026-06-18,2026-06-18 13:14:49,True,normal
96,29,499,2026-06-20,2026-06-20 11:59:47,completed,36.0,2026-06-20,2026-06-20 12:35:47,True,normal
97,29,500,2026-06-30,2026-06-30 19:12:26,completed,14.0,2026-06-30,2026-06-30 19:26:26,True,normal
98,30,308,2025-12-07,2025-12-07 09:20:47,completed,50.0,2025-12-07,2025-12-07 10:10:47,True,normal
99,31,2080,2025-08-29,2025-08-29 09:54:53,completed,45.0,2025-08-29,2025-08-29 10:39:53,True,normal
100,31,2081,2025-09-08,2025-09-08 20:34:02,completed,37.0,2025-09-08,2025-09-08 21:11:02,True,normal
101,31,2082,2025-09-11,2025-09-11 19:57:26,completed,19.0,2025-09-11,2025-09-11 20:16:26,True,normal
102,31,2083,2025-09-20,2025-09-20 21:39:04,completed,54.0,2025-09-20,2025-09-20 22:33:04,True,normal
103,31,2084,2025-09-30,2025-09-30 09:18:01,completed,47.0,2025-09-30,2025-09-30 10:05:01,True,normal
104,31,2085,2025-10-03,2025-10-03 07:19:54,completed,27.0,2025-10-03,2025-10-03 07:46:54,True,normal
105,31,2086,2025-10-08,2025-10-08 22:24:52,completed,21.0,2025-10-08,2025-10-08 22:45:52,True,normal
106,32,684,2025-10-27,2025-10-27 07:37:50,completed,40.0,2025-10-27,2025-10-27 08:17:50,True,normal
107,32,685,2025-11-06,2025-11-06 14:37:48,completed,20.0,2025-11-06,2025-11-06 14:57:48,True,normal
108,32,686,2025-11-08,2025-11-08 21:51:05,completed,52.0,2025-11-08,2025-11-08 22:43:05,True,normal
109,33,514,,,completed,12.0,2026-02-21,2026-02-21 21:47:20,False,normal
110,33,515,2026-02-23,2026-02-23 07:46:13,completed,81.0,2026-02-23,2026-02-23 09:07:13,True,normal
111,33,516,2026-02-27,2026-02-27 12:35:25,completed,27.0,2026-02-27,2026-02-27 13:02:25,True,normal
112,33,517,2026-03-01,2026-03-01 15:19:30,completed,28.0,2026-03-01,2026-03-01 15:47:30,True,normal
113,33,518,2026-03-04,2026-03-04 13:46:47,completed,65.0,2026-03-04,2026-03-04 14:51:47,True,normal
114,33,519,2026-03-09,2026-03-09 21:09:22,completed,25.0,2026-03-09,2026-03-09 21:34:22,True,normal
115,33,520,2026-03-13,2026-03-13 20:20:13,completed,42.0,2026-03-13,2026-03-13 21:02:13,True,normal
116,33,521,2026-03-13,2026-03-13 13:28:31,completed,27.0,2026-03-13,2026-03-13 13:55:31,True,normal
117,33,522,2026-03-19,2026-03-19 20:51:23,completed,57.0,2026-03-19,2026-03-19 21:48:23,True,normal
118,33,523,2026-03-19,2026-03-19 19:15:05,completed,25.0,2026-03-19,2026-03-19 19:40:05,True,normal
119,33,524,2026-03-28,2026-03-28 06:14:27,completed,33.0,2026-03-28,2026-03-28 06:47:27,True,normal
120,34,184,2025-02-17,2025-02-17 19:02:39,completed,9.0,2025-02-17,2025-02-17 19:11:39,True,normal
121,35,97,2025-02-11,2025-02-11 19:03:26,completed,71.0,2025-02-11,2025-02-11 20:14:26,True,normal
122,35,98,2025-02-21,2025-02-21 19:37:42,completed,43.0,2025-02-21,2025-02-21 20:20:42,True,normal
123,35,99,2025-02-22,2025-02-22 18:00:25,completed,51.0,2025-02-22,2025-02-22 18:51:25,True,normal
124,36,2051,2026-04-02,2026-04-02 22:41:44,completed,70.0,2026-04-02,2026-04-02 23:51:44,True,normal
125,36,2052,2026-04-02,2026-04-02 09:18:47,completed,32.0,2026-04-02,2026-04-02 09:50:47,True,normal
126,36,2053,2026-04-06,2026-04-06 18:02:06,completed,20.0,2026-04-06,2026-04-06 18:22:06,True,normal
127,36,2054,2026-04-10,2026-04-10 09:06:55,completed,11.0,2026-04-10,2026-04-10 09:17:55,True,normal
128,36,2055,2026-04-13,2026-04-13 09:08:54,completed,33.0,2026-04-13,2026-04-13 09:41:54,True,normal
129,36,2056,2026-04-13,2026-04-13 22:37:08,completed,12.0,2026-04-13,2026-04-13 22:49:08,True,normal
130,36,2057,2026-04-15,2026-04-15 20:06:42,completed,16.0,2026-04-15,2026-04-15 20:22:42,True,normal
131,36,2058,2026-04-15,2026-04-15 12:34:19,completed,9.0,2026-04-15,2026-04-15 12:43:19,True,normal
132,36,2059,2026-04-24,2026-04-24 11:11:33,completed,62.0,2026-04-24,2026-04-24 12:13:33,True,normal
133,36,2060,2026-04-25,2026-04-25 18:16:21,completed,13.0,2026-04-25,2026-04-25 18:29:21,True,normal
134,37,2219,2026-04-01,2026-04-01 17:49:51,in_progress,94.0,,,True,normal
135,38,1205,2026-07-13,2026-07-13 12:11:47,completed,53.0,2026-07-13,2026-07-13 13:04:47,True,normal
136,40,1528,2026-05-28,2026-05-28 22:52:15,completed,38.0,2026-05-28,2026-05-28 23:30:15,True,normal
137,40,1529,2026-06-18,2026-06-18 19:14:22,completed,20.0,2026-06-18,2026-06-18 19:34:22,True,normal
138,42,1240,2026-04-03,2026-04-03 22:17:31,completed,37.0,2026-04-03,2026-04-03 22:54:31,True,normal
139,43,2154,2025-01-18,2025-01-18 16:26:26,in_progress,47.0,,,True,normal
140,44,1928,2026-05-13,2026-05-13 20:23:10,completed,13.0,2026-05-13,2026-05-13 20:36:10,True,normal
141,44,1929,2026-05-20,2026-05-20 22:25:27,completed,58.0,2026-05-20,2026-05-20 23:23:27,True,normal
142,44,1930,2026-05-30,2026-05-30 15:44:44,completed,12.0,2026-05-30,2026-05-30 15:56:44,True,normal
143,44,1931,2026-06-01,2026-06-01 20:56:21,completed,46.0,2026-06-01,2026-06-01 21:42:21,True,normal
144,45,514,2025-07-10,2025-07-10 23:31:59,completed,23.0,2025-07-10,2025-07-10 23:54:59,True,normal
145,45,515,2025-07-14,2025-07-14 10:29:55,completed,75.0,2025-07-14,2025-07-14 11:44:55,True,normal
146,45,516,2025-07-20,2025-07-20 15:14:20,completed,47.0,2025-07-20,2025-07-20 16:01:20,True,normal
147,45,517,2025-07-30,2025-07-30 19:27:15,completed,25.0,2025-07-30,2025-07-30 19:52:15,True,normal
148,45,518,2025-07-30,2025-07-30 21:09:18,completed,53.0,2025-07-30,2025-07-30 22:02:18,True,normal
149,45,519,2025-08-08,2025-08-08 21:48:34,completed,34.0,2025-08-08,2025-08-08 22:22:34,True,normal
150,45,520,2025-08-09,2025-08-09 16:32:05,completed,31.0,2025-08-09,2025-08-09 17:03:05,True,normal
151,45,521,2025-08-17,2025-08-17 07:15:01,completed,39.0,2025-08-17,2025-08-17 07:54:01,True,normal
152,45,522,2025-08-20,2025-08-20 19:10:49,completed,48.0,2025-08-20,2025-08-20 19:58:49,True,normal
153,45,523,2025-08-20,2025-08-20 20:52:30,completed,25.0,2025-08-20,2025-08-20 21:17:30,True,normal
154,45,524,2025-08-20,2025-08-20 21:36:13,completed,50.0,2025-08-20,2025-08-20 22:26:13,True,normal
155,46,2021,2024-07-03,2024-07-03 21:25:11,completed,60.0,2024-07-03,2024-07-03 22:25:11,True,normal
156,46,2022,2024-07-14,2024-07-14 16:24:53,completed,31.0,2024-07-14,2024-07-14 16:55:53,True,normal
157,46,2023,2024-07-28,2024-07-28 15:29:08,completed,22.0,2024-07-28,2024-07-28 15:51:08,True,normal
158,46,2024,2024-08-18,2024-08-18 01:25:52,completed,12.0,2024-08-18,2024-08-18 01:37:52,True,normal
159,46,2025,2024-09-06,2024-09-06 11:26:44,completed,14.0,2024-09-06,2024-09-06 11:40:44,True,normal
160,46,2026,2024-10-01,2024-10-01 19:43:01,completed,28.0,2024-10-01,2024-10-01 20:11:01,True,normal
161,48,702,2026-02-11,2026-02-11 08:24:06,completed,89.0,2026-02-11,2026-02-11 09:53:06,True,normal
162,48,703,2026-02-20,2026-02-20 21:36:38,completed,63.0,2026-02-20,2026-02-20 22:39:38,True,normal
163,48,704,2026-03-01,2026-03-01 09:14:17,completed,29.0,2026-03-01,2026-03-01 09:43:17,True,normal
164,48,705,2026-03-04,2026-03-04 21:42:51,completed,78.0,2026-03-04,2026-03-04 23:00:51,True,normal
165,48,706,2026-03-14,2026-03-14 10:52:36,completed,21.0,2026-03-14,2026-03-14 11:13:36,True,normal
166,48,707,2026-03-18,2026-03-18 07:27:31,completed,35.0,2026-03-18,2026-03-18 08:02:31,True,normal
167,48,708,,,completed,19.0,2026-03-18,2026-03-18 19:25:25,False,normal
168,49,978,2026-07-30,2026-07-30 22:57:58,in_progress,40.0,,,True,normal
169,50,351,2026-07-08,2026-07-08 19:02:47,completed,58.0,2026-07-08,2026-07-08 20:00:47,True,normal
170,50,352,2026-07-17,2026-07-17 09:54:49,completed,21.0,2026-07-17,2026-07-17 10:15:49,True,normal
171,50,353,2026-07-25,2026-07-25 11:16:56,completed,11.0,2026-07-25,2026-07-25 11:27:56,True,normal
172,50,354,2026-07-25,2026-07-25 13:44:30,completed,12.0,2026-07-25,2026-07-25 13:56:30,True,normal
173,50,355,2026-08-04,2026-08-04 22:06:13,completed,50.0,2026-08-04,2026-08-04 22:56:13,True,normal
174,50,356,2026-08-10,2026-08-10 19:54:44,completed,31.0,2026-08-10,2026-08-10 20:25:44,True,normal
175,50,357,2026-08-17,2026-08-17 21:37:43,in_progress,15.0,,,True,normal
176,52,393,2025-04-07,2025-04-07 22:10:59,completed,72.0,2025-04-07,2025-04-07 23:22:59,True,normal
177,52,394,2025-04-17,2025-04-17 09:34:29,completed,25.0,2025-04-17,2025-04-17 09:59:29,True,normal
178,52,395,2025-04-21,2025-04-21 22:04:49,completed,38.0,2025-04-21,2025-04-21 22:42:49,True,normal
179,52,396,2025-04-24,2025-04-24 19:31:24,completed,11.0,2025-04-24,2025-04-24 19:42:24,True,normal
180,52,397,2025-04-30,2025-04-30 19:05:02,completed,14.0,2025-04-30,2025-04-30 19:19:02,True,normal
181,52,398,2025-05-07,2025-05-07 20:24:07,completed,11.0,2025-05-07,2025-05-07 20:35:07,True,normal
182,52,399,2025-05-11,2025-05-11 09:18:56,completed,28.0,2025-05-11,2025-05-11 09:46:56,True,normal
183,53,1496,2026-02-19,2026-02-19 20:27:42,completed,19.0,2026-02-19,2026-02-19 20:46:42,True,normal
184,53,1497,2026-02-20,2026-02-20 14:10:20,completed,41.0,2026-02-20,2026-02-20 14:51:20,True,normal
185,53,1498,2026-03-02,2026-03-02 00:40:23,completed,38.0,2026-03-02,2026-03-02 01:18:23,True,normal
186,54,400,2026-06-28,2026-06-28 15:33:33,completed,26.0,2026-06-28,2026-06-28 15:59:33,True,normal
187,54,401,2026-07-03,2026-07-03 20:38:14,completed,68.0,2026-07-03,2026-07-03 21:46:14,True,normal
188,55,1273,2025-01-18,2025-01-18 18:27:28,completed,24.0,2025-01-18,2025-01-18 18:51:28,True,normal
189,55,1274,2025-01-28,2025-01-28 15:32:18,completed,8.0,2025-01-28,2025-01-28 15:40:18,True,normal
190,55,1275,2025-01-30,2025-01-30 19:24:25,completed,22.0,2025-01-30,2025-01-30 19:46:25,True,normal
191,55,1276,2025-02-09,2025-02-09 10:55:00,completed,19.0,2025-02-09,2025-02-09 11:14:00,True,normal
192,55,1277,2025-02-19,2025-02-19 23:58:17,completed,26.0,2025-02-19,2025-02-20 00:24:17,True,normal
193,55,1278,2025-02-22,2025-02-22 20:32:41,completed,,2025-02-22,2025-02-22 20:50:41,True,was_negative
194,55,1279,2025-02-26,2025-02-26 19:51:06,completed,36.0,2025-02-26,2025-02-26 20:27:06,True,normal
195,55,1280,2025-02-26,2025-02-26 18:34:38,completed,43.0,2025-02-26,2025-02-26 19:17:38,True,normal
196,55,1281,2025-03-02,2025-03-02 08:08:34,completed,30.0,2025-03-02,2025-03-02 08:38:34,True,normal
197,55,1282,2025-03-09,2025-03-09 17:07:22,completed,34.0,2025-03-09,2025-03-09 17:41:22,True,normal
198,56,2179,,,completed,51.0,2026-07-27,2026-07-27 12:00:18,False,normal
199,56,2180,2026-07-31,2026-07-31 19:22:38,completed,23.0,2026-07-31,2026-07-31 19:45:38,True,normal
200,56,2181,2026-08-04,2026-08-04 06:48:35,completed,15.0,2026-08-04,2026-08-04 07:03:35,True,normal
201,56,2182,2026-08-13,2026-08-13 22:06:45,completed,47.0,2026-08-13,2026-08-13 22:53:45,True,normal
202,56,2183,2026-08-16,2026-08-16 21:20:12,completed,22.0,2026-08-16,2026-08-16 21:42:12,True,normal
203,58,1224,2026-06-13,2026-06-13 21:18:07,in_progress,155.0,,,True,was_extreme_outlier
204,59,2069,2024-08-10,2024-08-10 15:01:08,completed,38.0,2024-08-10,2024-08-10 15:39:08,True,normal
205,59,2070,2024-08-13,2024-08-13 20:58:55,completed,64.0,2024-08-13,2024-08-13 22:02:55,True,normal
206,59,2071,2024-08-26,2024-08-26 21:50:48,completed,39.0,2024-08-26,2024-08-26 22:29:48,True,normal
207,59,2072,2024-09-01,2024-09-01 13:29:18,completed,31.0,2024-09-01,2024-09-01 14:00:18,True,normal
208,59,2073,2024-09-24,2024-09-24 19:35:59,in_progress,56.0,,,True,normal
209,59,2074,2024-09-27,2024-09-27 22:41:45,completed,66.0,2024-09-27,2024-09-27 23:47:45,True,normal
210,59,2075,2024-10-21,2024-10-21 08:09:06,completed,42.0,2024-10-21,2024-10-21 08:51:06,True,normal
211,59,2076,2024-11-14,2024-11-14 22:57:15,completed,21.0,2024-11-14,2024-11-14 23:18:15,True,normal
212,60,2087,2025-07-28,2025-07-28 22:50:23,completed,39.0,2025-07-28,2025-07-28 23:29:23,True,normal
213,61,642,2026-06-20,2026-06-20 00:26:38,completed,28.0,2026-06-20,2026-06-20 00:54:38,True,normal
214,62,684,,,completed,20.0,2026-06-26,2026-06-26 20:54:27,False,normal
215,62,685,2026-06-27,2026-06-27 13:15:14,completed,35.0,2026-06-27,2026-06-27 13:50:14,True,normal
216,62,686,2026-07-01,2026-07-01 17:09:28,completed,59.0,2026-07-01,2026-07-01 18:08:28,True,normal
217,63,400,2026-04-24,2026-04-24 07:22:14,completed,50.0,2026-04-24,2026-04-24 08:12:14,True,normal
218,63,401,2026-05-13,2026-05-13 20:40:39,completed,59.0,2026-05-13,2026-05-13 21:39:39,True,normal
219,63,402,2026-05-25,2026-05-25 22:11:20,completed,47.0,2026-05-25,2026-05-25 22:58:20,True,normal
220,63,403,2026-05-28,2026-05-28 09:16:11,completed,11.0,2026-05-28,2026-05-28 09:27:11,True,normal
221,64,1030,2025-03-13,2025-03-13 13:46:21,completed,21.0,2025-03-13,2025-03-13 14:07:21,True,normal
222,64,1031,2025-03-19,2025-03-19 19:54:37,in_progress,23.0,,,True,normal
223,65,1896,2025-06-24,2025-06-24 13:23:28,completed,17.0,2025-06-24,2025-06-24 13:40:28,True,normal
224,65,1897,2025-06-27,2025-06-27 14:38:18,in_progress,28.0,,,True,normal
225,66,1170,2026-07-22,2026-07-22 17:02:17,completed,27.0,2026-07-22,2026-07-22 17:29:17,True,normal
226,66,1171,2026-07-29,2026-07-29 20:38:05,completed,41.0,2026-07-29,2026-07-29 21:19:05,True,normal
227,66,1172,2026-08-04,2026-08-04 21:01:19,completed,79.0,2026-08-04,2026-08-04 22:20:19,True,normal
228,66,1173,2026-08-21,2026-08-21 15:15:37,completed,66.0,2026-08-21,2026-08-21 16:21:37,True,normal
229,66,1174,2026-09-05,2026-09-05 20:25:14,completed,29.0,2026-09-05,2026-09-05 20:54:14,True,normal
230,66,1175,2026-09-19,2026-09-19 10:10:32,completed,60.0,2026-09-19,2026-09-19 11:10:32,True,normal
231,67,261,2026-06-17,2026-06-17 08:37:03,completed,19.0,2026-06-17,2026-06-17 08:56:03,True,normal
232,67,262,2026-06-20,2026-06-20 16:31:38,completed,20.0,2026-06-20,2026-06-20 16:51:38,True,normal
233,67,263,2026-06-29,2026-06-29 20:11:45,in_progress,,,,True,was_negative
234,68,654,2026-05-24,2026-05-24 17:43:17,in_progress,66.0,,,True,normal
235,69,1301,2025-11-29,2025-11-29 00:28:37,completed,12.0,2025-11-29,2025-11-29 00:40:37,True,normal
236,69,1302,2025-12-01,2025-12-01 21:46:51,completed,41.0,2025-12-01,2025-12-01 22:27:51,True,normal
237,69,1303,2025-12-03,2025-12-03 17:40:29,completed,47.0,2025-12-03,2025-12-03 18:27:29,True,normal
238,69,1304,2025-12-11,2025-12-11 16:28:46,completed,23.0,2025-12-11,2025-12-11 16:51:46,True,normal
239,70,207,2025-10-25,2025-10-25 11:48:22,completed,38.0,2025-10-25,2025-10-25 12:26:22,True,normal
240,70,208,2025-11-03,2025-11-03 07:28:31,completed,61.0,2025-11-03,2025-11-03 08:29:31,True,normal
241,70,209,2025-11-09,2025-11-09 11:42:30,completed,17.0,2025-11-09,2025-11-09 11:59:30,True,normal
242,70,210,2025-11-15,2025-11-15 15:35:05,completed,54.0,2025-11-15,2025-11-15 16:29:05,True,normal
243,70,211,2025-11-25,2025-11-25 18:04:51,completed,39.0,2025-11-25,2025-11-25 18:43:51,True,normal
244,70,212,2025-11-25,2025-11-25 20:25:30,completed,62.0,2025-11-25,2025-11-25 21:27:30,True,normal
